
---[Section 1] (Source: 501509-1.json) ---
旁白: 第9章「没有黎明的世界」
八千代: 但是也没说\n我们一定就能见到那个人……
八千代: 还是先去找丘卜吧。
彩羽: 是啊。
八千代: 不知道能不能把书带到梦里去……
彩羽: 既然穿着的衣服没变……
彩羽: 那就抱着书，\n点燃蜡烛试试看吧？
八千代: 试一试吧。
八千代: 希望一切顺利……

---[Section 3] (Source: 501509-3.json) ---
彩羽: …………
彩羽: 咦？
彩羽: 这里\n不是梦中的法国？
彩羽: 而且……\n八千代在哪里？
彩羽: 怎么办，\n黑漆漆的，连方向都搞不清楚。
彩羽: 竟然在这里迷路了？
八千代的声音: 彩羽……能听见吗？
彩羽: 八千代！
彩羽: 八千代，你在哪里？
八千代的声音: 看来这里是\n进入梦境之前的空间。
彩羽: 我们得想办法汇合……
八千代的声音: 你站在那里别动。
八千代的声音: 我根据\n心灵感应传来的方向找找看。
八千代的声音: 在碰面之前，我们要保持交流。
彩羽: 好！
彩羽: 八千代！
八千代: 总算汇合了。
彩羽: 这里要怎么出去？
八千代: 完全没有头绪……
彩羽: 要不要用刚才的方式……
彩羽: 通过心灵感应\n呼唤别人试试？
八千代: 那就试试吧。
八千代: 希望能有人回应。
彩羽: 有人……\n能听到吗？
彩羽: 如果听得到，请回复我们！
梅丽莎的声音: 那个……你是谁？
彩羽: 啊，有回复了！
梅丽莎的声音: 这个声音……是彩羽！？
彩羽: 梅丽莎！\n你听到我们的声音了啊！
彩羽: 我们现在迷路了！
彩羽: 我们会依照心之声前进，\n如果我叫你，请回答一下！
梅丽莎的声音: 什、什么！？
梅丽莎的声音: 虽然不是很明白，\n不过我试试！
八千代: 梅丽莎好像\n真的有成为魔法少女的潜质呢。
八千代: 看到光了。\n我们正在接近“梦之法国”。
彩羽: 感觉还差一点就到了！\n谢谢你，梅丽莎！
梅丽莎的声音: 请一定要平安无事……
彩羽: 终于到了！
八千代: 是的。\n梅丽莎，谢谢你。
梅丽莎·德·维尼奥勒: 你们没事真是太好了！
彩羽: 为什么唯独这次\n迷路了呢……
八千代: 我也不明白。
梅丽莎·德·维尼奥勒: 彩羽……\n那本旧书是什么？
彩羽: 啊，这个！
八千代: 成功带过来了啊。
彩羽: 是的！
彩羽: 梅丽莎，这本书里……
彩羽: 写了敌人使用的魔法陷阱。
梅丽莎·德·维尼奥勒: 是吗！？
彩羽: 没错，所以……
彩羽: 我们打算\n让丘卜看看！
丘卜: 叫我？

---[Section 4] (Source: 501509-4.json) ---
丘卜: 原来如此，\n利用了魔女结界的魔法啊。
丘卜: 多亏了这本书，\n我终于知道了！
丘卜: 可鲁波设下的\n魔法陷阱的构造！
丘卜: 大概情况就和你们\n解读的内容一样。
丘卜: 「可鲁波利用魔导书中的魔法\n把现实中的塔鲁特\n带进了永久的沉睡之中」
丘卜: 「那个时候在附近的梅丽莎和我\n都被卷入了塔鲁特的梦中」
丘卜: 「而可鲁波又用红色和蓝色的蜡烛\n进入梦中，向我们发起战斗」
丘卜: 「这都是为了让塔鲁特陷入绝望……」
彩羽: 连丘卜也不知不觉地\n进入了梦中……
彩羽: 你没有察觉到什么时候\n被卷进来的吗？
丘卜: 嗯，\n进入这里之前的记忆……
丘卜: 似乎已经被篡改成\n合乎梦境逻辑的记忆了。
八千代: 如果连丘卜都是这样……
丘卜: 那塔鲁特和梅丽莎肯定\n完全没有怀疑过这会是梦吧！
丘卜: 这里的魔女躲都不躲，\n大摇大摆地出现在人前。
丘卜: 如果梦境的主人被困在\n魔女的结界中，那就说得通了。
丘卜: 因为这个梦境整体\n就像是一个结界！
八千代: 原来如此。
八千代: 还知道别的什么吗？
丘卜: 知道关于施术者可鲁波\n所使用的魔法。
丘卜: 她似乎能在这个梦里\n驱使无数的使魔。
丘卜: 还能从别人的记忆中\n把敌人复制出来。
彩羽: 诶，那就是说……
彩羽: 我们在这里对付过的那些神滨的魔女，\n是他从我们的记忆中复制出来的？
丘卜: 嗯，是的，\n从这种意义上来说……
丘卜: 未来之所以变得不稳定，\n和你们自己也脱不开干系。
彩羽: 诶诶！
八千代: 是吗……也对。
八千代: 毕竟这本身是在塔鲁特他们的时代\n就已经终结的事件。
八千代: 可是在几百年后，\n可鲁波的蜡烛被找到了。
八千代: 我们拿到了它们，\n进入了塔鲁特的梦中。
八千代: 所以过去才被改变，\n未来也开始不稳定了吧。
丘卜: 但这只是一种可能性而已。
丘卜: 毕竟你们来的时候，\n战况已经很糟糕了。
丘卜: 不过……魔女们的出现\n可能加剧了情况的恶化。
彩羽: 怎么会……
丘卜: 不过也不是只有负面影响。
丘卜: 考虑到法军\n没有其他的魔法少女……
丘卜: 所以你们就是\n逆转战况的唯一王牌！
丘卜: 要是你们不来……
丘卜: 状况很有可能\n变得更加糟糕。
丘卜: 不如说，或许你们才是……
丘卜: 背负着拯救法国使命的\n救世主呢？
梅丽莎·德·维尼奥勒: 天使大人，那么……
梅丽莎·德·维尼奥勒: 有什么办法……\n救出塔鲁特吗！？
丘卜: 嗯，方法\n也写在这本书里。
丘卜: 要让塔鲁特醒过来……
丘卜: 好像只要敲响\n“献祭之钟”就可以了。
八千代: 献祭……之钟？
彩羽: 那是……什么？
