
--- [Section 1] (Source: 310263-1.json) ---
千春的母亲＆静香的母亲: 旅游？
千春: 谢什么呀，\n我才要谢谢姑姑你们能过来！
千春: 今天我会带你们好好逛逛村落的。
静香: 除了眼前的神乐舞台，\n还会为您介绍历史悠久的宅邸……
静香: 以及马匹牧场和工艺品。
静香: 请您体味我们村落的文化，\n好好享受这次旅程！
千春的姑妈: 拜托你们了。
千春: 那么首先！\n我会在这个舞台上为各位奉上舞蹈！
千春: 我们村落有传统舞蹈……\n但今天的舞蹈是特别为三位准备的！
千春: 「喜悦之舞～欢迎篇～」！
千春: 各位，有请！
众人: 好、好的！
旁白: 咚、咚。\n沙、沙。\n咚、咚。\n沙、沙
旁白: 啵～啵～\n咚、咚。\n沙、沙
千春的表兄弟: 好、好厉害……
千春的姑妈: 多谢你们如此费心……
千春: 好了，舞蹈也结束了，\n我们去逛村落吧！
千春的姑妈: 呼……
沙绪: 您还好吗？
千春的姑妈: 嗯……还好……
千春的姑妈: 神乐舞台，有悠久历史的壮观宅邸，\n还有巨大的水车……
千春的姑妈: 能逛这么多地方我很开心，\n但体力稍微有点跟不上……
千春的姑父: 这里的路面起伏太大，\n光是走路也很累人啊……
千春的表兄弟: 我倒是觉得还好啦。
千春的表兄弟: 啊，那个果子看上去很好吃～\n我过去看看！
旁白: 咔嚓！
千春的表兄弟: 呜哇？！
千春: 怎么了？！
千春的表兄弟: 这、这、这个……\n在脚边！
静香: 啊……\n这是用来捕猎有害动物的陷阱……
静香: 非常抱歉……还好吗？\n有没有受伤……
千春的表兄弟: 没、没事，没有受伤……\n我没事……
千春的姑妈: 你说实话！\n真的没事吗？！
千春的姑父: 啊，还是别乱动比较好吧……
旁白: 咔嚓
千春的姑父＆千春的姑妈: 咦？
旁白: 嗯？是谁？
千春的姑父: 镰……镰镰镰、镰刀？！
千春的姑妈: 噫！
千春: 姑姑？！\n这次又怎么了？！
千春的姑妈: 啊……吓得我腿软了……
千春: 咦？没事吧？\n我们休息一下吧……
千春: 啊，难得要休息，\n我带能治愈身心的他过来。
千春: 请在这等一等！
千春的姑妈: 咦？\n等等！
沙绪: 非常抱歉，让各位受惊了……
沙绪: 我来扶着您，\n请您慢慢站起来。
千春的姑妈: 啊……嗯，谢谢……\n嘿咻……
沙绪: 在小千回来前，\n请在这边的树荫下休息吧。
千春的姑父: 嗯……\n就这么办吧……
千春的表兄弟: 唉……我也有点累了……
静香: ……
千春: 久等了～
千春: 我把这个村落的天然偶像……\n马先生带过来了～
旁白: 打响鼻……
千春的表兄弟: 啊！\n就是刚才提到的马匹牧场里的？
千春的姑妈: 哦！\n马还挺可爱的……
千春的姑父: 马原来有这么大啊……
千春: （哦……反响不错！）
千春: 那么三位，\n来骑上这匹马吧！
沙绪: 咦？\n小千，那有点……
旁白: 打响鼻……
千春: 好啦！安静点！\n就稍微骑一下嘛。
静香: 哇？！\n等等，小千！
静香: 马还很紧张呢，\n不能突然骑上去……
旁白: 嘶鸣！！
静香＆千春: 呀？！
旁白: 哒哒
旁白: 哒哒
旁白: 哒哒……
千春的姑妈: ……
千春: （糟了……\n破坏了这么好的气氛……）
千春: 下一个，下一个！\n让我们多转转！
静香: 小千？！\n你要去哪里？

--- [Section 3] (Source: 310263-3.json) ---
千春: 好！\n那么接下来是钓鱼！
千春: 我们要在这里钓午饭吃的鱼。
千春的表兄弟: 不是吧？！\n我还从没钓过鱼。
静香: 小千，等等，\n这和我们的计划不符啊。
千春: 但是，要让他们感受村子的亮点啊。
千春: 光是逛逛村落还是不够。
沙绪: 可这也太突然了……\n我们也没准备钓鱼的东西啊……
千春: 那就只能让静香\n一条接一条地钓上来……
静香: 真拿你没办法，\n你稍等一下。
千春: 咦？
静香: 好了！\n我做了三个人的钓竿。
千春的表兄弟: 这是……钓竿？
静香: 我只是在趁手的树枝上系了钓鱼线……
静香: 外表看起来不怎么样，\n但钓鱼是没问题的。
静香: 嘿！
静香: ……嘿咻！
千春的表兄弟: 咦？！这就钓到了？！
静香: 是的。
千春的姑父: 真厉害！
千春的姑妈: 让我试试。
静香: 您请。
千春: 静香！
千春的姑父: 哈哈！\n我钓了不少呢。
千春的表兄弟: 爸爸，那根本不算是你钓的吧，\n还不是有人在旁边教。
千春的姑父: 唔……也对……
千春的姑妈: 我还从没吃过刚钓上来的河鱼呢，\n好期待啊。
千春: 呵呵。
千春: 啊！\n沙绪，你快看！
千春: 之前你跟我说的\n就是这个野菜吧？
沙绪: 啊……那是……
千春: 还有这个也是……\n还有这个！
千春: 嘿嘿嘿～
千春: 只要抓住诀窍，\n可食用野菜还挺好分辨的嘛。
千春: 我们一起来采野菜吧！
千春的姑妈: 咦？\n可是……
千春: 没问题的啦！
沙绪: 小千啊……你手里的那个野菜\n还是先给我吧。
沙绪: 如果各位不介意，\n我也来教给各位怎么采野菜吧。
千春: 沙绪！谢谢！\n好，尽情去采野菜吧！
沙绪: ……
静香: 沙绪，那个……\n是有毒的吧……
沙绪: 是啊……好险……
千春: 好——到村落啦！
千春的姑妈: 唉……我玩得很高兴，\n但一回村子就累得不得了……
千春的表兄弟: 我也是……
千春的姑父: 呼……我的腰已经快不行了……
千春: 三位，\n接下来要吃美味的午饭啦！
千春: 对吧，沙绪！
沙绪: 是的，为了缓解各位的疲劳……
沙绪: 今天会使用新鲜采摘的食材来做午饭。
静香: 沙绪，我也来帮忙。
千春: 嗯！
千春: 继续按照我们之前的流程\n冲啊！
众人: 我开动了！
千春的姑妈: ……
千春的姑妈: 嗯～真好吃！
千春的姑父: 这鱼也太好吃了！
千春的姑妈: 这道凉拌野菜稍微有点苦，\n不过味道正好！
沙绪: 呵呵……多谢夸奖。
千春的表兄弟: 这个生蛋拌饭超级好吃！
静香: 鸡蛋都是今早刚下的哦。
千春的姑妈: 还有……这个柿子！\n甘美多汁，太好吃了……
千春: 啊，那个好像叫“代代果”哦。
千春: 虽说形状不太像柿子……\n但也算是柿子那一类的吧？
千春的姑妈: 这样啊？
千春的姑父: 这个村\n和其他村子没什么往来是吗？
静香: 是的。
千春的姑父: 那“代代果”可能是\n一种独特的水果……
千春的姑父: 是适应了村里的气候后\n进化而成的。
千春: 也就是说，\n它是这个村落特有的水果？
沙绪: 说不定能成为村落新的亮点呢。
千春: 嗯！

--- [Section 4] (Source: 310263-4.json) ---
千春的姑妈: 感谢你们今天邀请我们过来。
千春的姑妈: 我们体验到了很多东西，\n过得非常开心。
沙绪: 欢迎下次再来玩。
静香: 下次也得请各位泡泡温泉呢。
千春: 咦？\n这里有温泉啊？！
静香: 小千……你不知道吗？
千春的表兄弟: 温泉啊！我今天就想泡了！
沙绪: 啊……这稍微有点……\n那边还没准备好……
千春的姑父: 哈哈，\n那下次再来玩吧。
千春: ？！
千春: 请问……你们以后还会过来玩吗？
千春的表兄弟: 嗯，当然了！
千春: 太好了！
千春: 呼～
静香: 做了不符合计划的行动时，\n我一时担心得不知如何是好……
静香: 还好客人们都玩得很开心。
千春: 嗯！
旁白: 我一开始以为在村里开展旅游\n肯定不会顺利……
旁白: 但总算成功了呢。
旁白: 虽说出了很多问题……
旁白: 但只要村里的各位团结一心，\n任何事都不是难事。
旁白: 千春也拼命努力了呢。
旁白: 是啊，归根结底\n都是千春的功劳。
旁白: 谢谢你们。
千春的母亲: 总算完事了呢。
千春: 怎么样！
千春: 我还会更努力的！
千春: 我要帮上大家，\n拯救村子远离危机！
千春的母亲: 气势不错。
千春的母亲: 那大家来一起反省一下\n这次的旅游体验吧。
千春: 咦？
千春的母亲: 从结果上来说，\n三位客人玩得都很开心……
千春的母亲: 但还存在几个问题。
静香: 通往村落的交通\n要是能更便捷些就好了。
旁白: 也得开发一些更像样的景点。
千春: ……
沙绪: 光靠口碑的话，\n拉客上限很低……
沙绪: 可以用网络试着宣传一下……
千春的母亲: 借口复兴村子，\n灵活运用政府的职能也不错。
静香的母亲: 啊……是指广江女士提到过的\n“旅游局”吗？
千春的母亲: 没错，可以试着和旅游局交涉，\n申请一下补助金……
千春: ……
千春: ……呜呜……
沙绪: 小千？
静香: 你没事吧？！
千春: 嗯……不……\n不能说没事……
千春: 我还以为……\n一切都挺顺利的。
千春: 但实际上，并不是……
静香: 小千……
千春: 其实出了很多问题……\n全靠大家帮忙……
千春: 所以看起来才会很顺利……
千春的母亲: 小千，你能注意到这点\n就很厉害了哦。
千春: 唔……
千春: 我还以为……\n这次肯定帮上大家的忙了。
千春: 结果又是我自以为是……
千春的母亲: 没这回事。
千春的母亲: 我们村子说不定有救了，\n而创造契机的那个人……
千春的母亲: 毫无疑问，就是你啊。
千春: 妈妈！
千春: 那我不就成了……\n拯救这个村子的英雄？！
千春的母亲: 不，还没到这份上呢。
千春: 唔……
千春的母亲: 你要多多学习，\n成为一个见多识广的人。
千春的母亲: 然后反过来帮那些帮过你的人。
千春: 哇……
千春的母亲: 这才是你想成为的英雄吧？
千春: 唔……我会加油的……
旁白: 只要能靠旅游业维持村落日常运转……
旁白: 就不用去外面找新工作了吧？
旁白: 太好了……
旁白: 我都这把年纪了，\n很难再学新东西了啊……
静香的母亲: 要维持村子的运转，\n光靠旅游业的盈利可完全不够。
旁白: 咦？
静香的母亲: 别说丧气话了，\n大家一起努力吧！
旁白: 好……
千春: 和大家的关系都变好了，\n还好我过来了！
