
--- [Section 1] (Source: 321011-1.json) ---
？？？: 见泷原市……灾厄之日的事件……
圆: ―圆―\n总有一天\n我会再次和小焰相见的
圆: ―圆―\n在那之前……\n只能短暂的分开一段时间了呢……
焰: 小圆——！

--- [Section 4] (Source: 321011-4.json) ---
圆: 就这样，我干涉了无数个世界……\n无数个宇宙，抹消了魔女的存在……
圆: 但是，在那个过程中……
圆: 好奇怪……
圆: 总觉得哪里有些违和感……
圆: 有违和感的……因果。
圆: 但是我找不到……
圆: 哪里……\n到底在哪里呢？
圆: 我花了很长时间\n去寻找这违和感的源头
圆: 终于，我发现了一根细小的因果之线\n随即就去调查……
圆: 这里是……
圆: 这个宇宙……我无法干涉？
圆: 那这样一来……\n我就无法拯救这个宇宙的魔法少女了！
圆: 到底是什么在妨碍我干涉这个宇宙？
圆: 是这个城市……
圆: 这个城市的名字是……神滨市……
圆: ……………
圆: 我一定要好好看清楚……
圆: 因为我可是许了愿的\n我一定要接受所有的因果……
